FrameNumber, xAcc, yAcc, zAcc, xGyro, yGyro, zGyro
11, -0.876465, -0.007080, -0.489502, 0.366211, 0.213623, 0.549316, 0.000000
11, -0.876709, -0.005127, -0.491699, 0.183105, 0.106812, 0.427246, 0.000000
11, -0.874023, -0.006348, -0.491455, 0.244141, 0.244141, 0.259399, 0.000000
11, -0.875244, -0.011719, -0.497314, 0.183105, 0.503540, 0.091553, 0.000000
11, -0.876221, -0.012207, -0.504150, 0.152588, 0.610352, -0.015259, 0.000000
11, -0.874023, -0.013916, -0.500732, 0.091553, 0.625610, -0.106812, 0.000000
11, -0.872070, -0.013916, -0.509766, 0.000000, 0.549316, -0.091553, 0.000000
11, -0.874023, -0.016846, -0.505127, -0.030518, 0.473022, -0.167847, 0.000000
11, -0.875244, -0.018066, -0.512451, -0.015259, 0.442505, -0.366211, 0.000000
11, -0.872070, -0.021484, -0.517334, 0.000000, 0.518799, -0.549316, 0.000000
11, -0.878174, -0.025146, -0.520508, -0.015259, 0.442505, -0.518799, 0.000000
11, -0.877197, -0.027100, -0.511475, 0.091553, 0.198364, -0.350952, 0.000000
12, -0.875977, -0.029297, -0.518555, -0.076294, 0.167847, -0.335693, 0.000000
12, -0.873047, -0.029053, -0.516846, -0.106812, -0.045776, -0.244141, 0.000000
12, -0.872803, -0.034668, -0.523926, -0.152588, -0.167847, -0.289917, 0.000000
12, -0.873291, -0.036621, -0.524902, -0.091553, -0.198364, -0.183105, 0.000000
12, -0.874268, -0.041260, -0.526367, -0.015259, -0.335693, -0.045776, 0.000000
12, -0.875000, -0.037109, -0.529297, 0.045776, -0.717163, 0.091553, 0.000000
12, -0.876221, -0.038574, -0.519531, -0.228882, -0.625610, 0.320435, 0.000000
12, -0.870605, -0.036621, -0.518799, -0.259399, -0.686646, 0.274658, 0.000000
12, -0.867676, -0.034912, -0.520508, -0.030518, -0.839233, 0.442505, 0.000000
12, -0.868408, -0.035889, -0.518555, -0.137329, -1.129150, 0.656128, 0.000000
12, -0.867920, -0.035400, -0.512939, 0.000000, -1.342773, 0.839233, 0.000000
12, -0.871338, -0.032471, -0.506592, 0.167847, -1.358032, 0.839233, 0.000000
12, -0.871338, -0.032227, -0.512207, 0.244141, -1.190186, 0.823975, 0.000000
12, -0.866699, -0.024902, -0.510254, 0.198364, -1.358032, 0.991821, 0.000000
12, -0.864746, -0.032471, -0.497070, 0.320435, -1.327515, 1.022339, 0.000000
12, -0.868408, -0.027832, -0.500732, 0.335693, -1.220703, 1.129150, 0.000000
12, -0.871582, -0.027832, -0.497070, 0.473022, -1.220703, 1.190186, 0.000000
13, -0.869385, -0.027100, -0.486572, 0.549316, -1.052856, 1.129150, 0.000000
13, -0.869141, -0.024170, -0.496582, 0.549316, -0.900269, 1.174927, 0.000000
13, -0.870117, -0.019287, -0.489014, 0.701904, -0.930786, 1.159668, 0.000000
13, -0.867920, -0.019287, -0.493652, 0.671387, -0.778198, 0.976563, 0.000000
13, -0.868652, -0.018311, -0.487305, 0.717163, -0.671387, 0.900269, 0.000000
13, -0.868652, -0.012451, -0.494629, 0.717163, -0.503540, 0.839233, 0.000000
13, -0.867432, -0.016357, -0.488281, 0.701904, -0.167847, 0.686646, 0.000000
13, -0.870361, -0.014404, -0.487549, 0.793457, -0.152588, 0.656128, 0.000000
13, -0.870605, -0.015381, -0.489014, 0.762939, -0.076294, 0.534058, 0.000000
13, -0.871338, -0.017578, -0.492920, 0.549316, -0.244141, 0.473022, 0.000000
13, -0.874512, -0.019043, -0.498535, 0.534058, -0.137329, 0.534058, 0.000000
13, -0.874512, -0.010742, -0.492920, 0.427246, 0.000000, 0.305176, 0.000000
13, -0.873291, -0.014648, -0.492920, 0.564575, -0.061035, 0.289917, 0.000000
13, -0.874756, -0.016846, -0.500244, 0.503540, 0.061035, 0.411987, 0.000000
13, -0.874023, -0.019775, -0.499268, 0.320435, 0.122070, 0.350952, 0.000000
13, -0.873047, -0.022705, -0.499512, 0.350952, 0.167847, 0.259399, 0.000000
14, -0.871826, -0.023682, -0.501953, 0.442505, 0.213623, 0.198364, 0.000000
14, -0.873291, -0.023682, -0.505371, 0.335693, 0.213623, 0.244141, 0.000000
